"Show stock indicator<br/><br/><strong>Availability:</strong>","Zeige Bestandsanzeige<br/><br/><strong>Verfügbarkeit:</strong>"
"Green ≤","Grün ≤"
"Red ≤","Rot ≤"
"Yellow ≤","Gelb ≤"
"Stock Indicator","Lagerbestands Anzeige"
